algorithm,matrix_size,block_size,time_seconds,cpu_atom_cycles,cpu_core_cycles,cpu_atom_instructions,ipc_atom,cpu_core_instructions,ipc_core,cpu_atom_cache_references,cpu_core_cache_references,cpu_atom_cache_misses,cpu_core_cache_misses,cpu_atom_l1_dcache_loads,cpu_core_l1_dcache_loads,cpu_atom_l1_dcache_load_misses,cpu_core_l1_dcache_load_misses,cpu_atom_llc_loads,cpu_core_llc_loads,cpu_atom_llc_load_misses,cpu_core_llc_load_misses,cpu_core_mem_load_retired_l1_miss,cpu_core_mem_load_retired_l2_miss,elapsed_seconds,user_seconds,sys_seconds,cpu_atom_mem_load_retired_l1_miss,cpu_atom_mem_load_retired_l2_miss,cache_miss_rate,l1_miss_rate,llc_miss_rate,instructions_per_cycle,gflops_estimate,normalized_cache_misses_per_element,normalized_l1_misses_per_element,speedup_vs_onmult,speedup_vs_onmultline
OnMultBlock,10240.0,512.0,321.389,1144847837455.0,1630949178856.0,3417441790713.0,2.99,7546367818077.0,4.63,69756633537.0,180817391160.0,518269062.0,797218118.0,974287666262.0,2151944420292.0,,84015175848.0,7405308397.0,6941558631.0,56448303.0,94948714.0,84755535019.0,7006343216.0,322.068740616,321.472648,0.523882,,,0.0044089681467341,0.03904151754839462,0.013678298930729006,4.63,6.6677804368491245,7.602864437103271,801.2311539459229,,1.765628741440019
OnMultLine,1024.0,,0.327,1196140653.0,1672055991.0,1191741633.0,1.0,8743003651.0,5.23,14562181.0,138100987.0,12511600.0,701186.0,243939147.0,2185364627.0,,84068420.0,492582.0,1706370.0,8605.0,100210.0,84832698.0,1786242.0,0.335976691,0.326417,0.008983,,,0.005077342423338365,0.03846882985170602,0.058727005280214725,5.23,6.391763790542243,0.6687030792236328,80.17389297485352,6.846257081566412,
OnMultLine,1536.0,,1.22,4413623916.0,6363378504.0,4424809657.0,1.0,29443216547.0,4.63,56014403.0,464630974.0,51828226.0,11819631.0,865038688.0,7340708498.0,,397171903.0,867562.0,41966100.0,20440.0,6581617.0,419337849.0,43914360.0,1.237959609,1.21751,0.020024,,,0.0254387495914123,0.05410539093170786,0.15683175229530502,4.63,5.854599180222526,5.009812672932942,168.34339692857532,7.334967108769378,
OnMultLine,2048.0,,3.609,13240523509.0,18621044923.0,14245324899.0,1.08,69057444808.0,3.71,169792149.0,1091635981.0,133008960.0,231301451.0,2937913550.0,17254628624.0,,681071300.0,7193428.0,119495316.0,0.0,96063084.0,779840094.0,125223083.0,3.633234831,3.598105,0.033991,,,0.21188514763695757,0.03947180289077197,0.8039066903676794,3.71,4.728532556556898,55.14656329154968,162.380051612854,6.586131020992625,
OnMultLine,2560.0,,7.407,,38309603751.0,,,134552025714.0,3.51,,2136421030.0,,1080856048.0,,33666829024.0,,1005329276.0,,384842218.0,,378249403.0,1393034180.0,412213849.0,7.442480053,7.401812,0.038993,,,0.505919026644294,0.029861121618651197,0.9828687844221914,3.51,4.508501435146541,164.92554443359376,153.40107360839843,8.329024638502448,
OnMultLine,3072.0,,13.288,39790856648.0,68808790360.0,39328615101.0,0.99,232646965392.0,3.38,455911121.0,3684993071.0,434995056.0,2413009257.0,7935813420.0,58153230927.0,,1935902657.0,18946556.0,527947891.0,17498.0,519100134.0,2452939068.0,563402847.0,13.341768408,13.270274,0.067986,,,0.6548205683179695,0.03328968358490944,0.9832412305251542,3.38,4.345905034690361,255.69166151682535,205.13562700483533,11.46854584481107,
OnMultLine,4096.0,,33.343,107090443611.0,164922650708.0,76578067667.0,0.72,550767196883.0,3.34,1109908701.0,8689508631.0,570444426.0,7491925518.0,17282315425.0,137694566619.0,,8569779623.0,138002489.0,1311398512.0,0.0,1296996985.0,9775689748.0,1362833242.0,33.429893178,33.306663,0.114971,,,0.8621805715541155,0.06223760191433353,0.9890181917485659,3.34,4.111259127876834,446.5535591840744,510.798670232296,,
OnMultLine,6144.0,,116.122,417869714763.0,564852729339.0,476602637328.0,1.14,1859710909216.0,3.29,4738357140.0,29307054983.0,2462905744.0,27990536793.0,112624964411.0,464784578779.0,,33604079845.0,499011621.0,4624908115.0,0.0,4593205739.0,37874554661.0,4800801847.0,116.304137563,116.057119,0.224957,,,0.9550784549739417,0.07230033305596908,0.9931452960336272,3.29,3.9883058134259133,741.4960011641184,890.2041076289283,,
OnMultLine,8192.0,,274.91,973093406487.0,1343563645057.0,2300330265525.0,2.36,4406878767558.0,3.28,52654125387.0,69427221560.0,46748713700.0,67587943501.0,564217844879.0,1101449098377.0,,80844478256.0,22445152177.0,11228676466.0,8079488420.0,11154762655.0,91147229292.0,11670130635.0,275.248886552,274.784148,0.402907,,,0.973507825638529,0.07339828810530184,0.993417406653063,3.28,3.9946088122259504,1007.1388408690691,1204.6766021251678,,
OnMultLine,10240.0,,568.111,1899069437126.0,2643217614860.0,4396246712905.0,2.31,8599991229303.0,3.25,95839833489.0,135683990396.0,86504486390.0,130785243182.0,1099029243608.0,2149934333403.0,,158330605234.0,40892261125.0,21554826667.0,9907650901.0,21396949722.0,177933494766.0,22364756715.0,568.653825151,567.901284,0.635871,,,0.9638959084288221,0.07364439126072662,0.9926755641583652,3.25,3.776434014894314,1247.2652738761901,1509.9583171272277,,
